50 50
c[1][1] = 1333.7
c[1][2] = 1246.47
c[1][3] = 1348.76
c[1][4] = 1218.78
c[1][5] = 1117.59
c[1][6] = 1392.44
c[1][7] = 1014.51
c[1][8] = 1141.07
c[1][9] = 1216.82
c[1][10] = 1052.1
c[1][11] = 1217.98
c[1][12] = 1067.92
c[1][13] = 1336.68
c[1][14] = 1521.58
c[1][15] = 1323.1
c[1][16] = 1236.3
c[1][17] = 1128.45
c[1][18] = 1185.02
c[1][19] = 1451.92
c[1][20] = 1394.28
c[1][21] = 1310.08
c[1][22] = 1011.96
c[1][23] = 1093.93
c[1][24] = 1237.67
c[1][25] = 1171.38
c[1][26] = 1044.41
c[1][27] = 1331.84
c[1][28] = 1633.5
c[1][29] = 1156.01
c[1][30] = 1427.03
c[1][31] = 1169.01
c[1][32] = 1070.95
c[1][33] = 1290.43
c[1][34] = 1580.96
c[1][35] = 1014.08
c[1][36] = 1116.69
c[1][37] = 1260.77
c[1][38] = 1418.25
c[1][39] = 864.359
c[1][40] = 1277.3
c[1][41] = 1417.71
c[1][42] = 1411.53
c[1][43] = 1278.68
c[1][44] = 1348.11
c[1][45] = 1186.78
c[1][46] = 1099.69
c[1][47] = 1213.09
c[1][48] = 1144.35
c[1][49] = 1294.82
c[1][50] = 1216.05
c[2][1] = 1333.7
c[2][2] = 1246.47
c[2][3] = 1348.76
c[2][4] = 1218.78
c[2][5] = 1117.59
c[2][6] = 1392.44
c[2][7] = 1014.51
c[2][8] = 1141.07
c[2][9] = 1216.82
c[2][10] = 1052.1
c[2][11] = 1217.98
c[2][12] = 1067.92
c[2][13] = 1336.68
c[2][14] = 1521.58
c[2][15] = 1323.1
c[2][16] = 1236.3
c[2][17] = 1128.45
c[2][18] = 1185.02
c[2][19] = 1451.92
c[2][20] = 1394.28
c[2][21] = 1310.08
c[2][22] = 1011.96
c[2][23] = 1093.93
c[2][24] = 1237.67
c[2][25] = 1171.38
c[2][26] = 1044.41
c[2][27] = 1331.84
c[2][28] = 1633.5
c[2][29] = 1156.01
c[2][30] = 1427.03
c[2][31] = 1169.01
c[2][32] = 1070.95
c[2][33] = 1290.43
c[2][34] = 1580.96
c[2][35] = 1014.08
